inicio,fim,alpha,beta,delta,theta,gamma
29250,29375,100.0,24.650786848238948,0.0,23.93701569909123,0.40376654891152836
29375,29500,100.0,23.299333120514387,0.0,23.821513931968088,0.23383176843486753
29500,29625,100.00000000000001,24.993872590792652,0.0,26.130405094833993,0.3066890446847872
29625,29750,100.00000000000001,25.512601677720138,0.0,27.71513209755789,0.48526698842320865
29750,29875,100.0,29.333523643529123,0.0,31.880963542669022,0.9191143397221083
29875,30000,100.0,39.22584069182515,0.0,37.92186934466731,1.4451766762942282
30000,30125,100.0,56.75327765643876,0.0,47.617026093389036,1.997610321746191
30125,30250,100.0,99.43347767626261,0.0,87.70005487004893,2.287081332558176
30250,30375,95.17211515850542,100.0,0.0,81.63883893379355,1.8557194853821881
30375,30500,100.0,48.42602077167466,0.0,38.171679418212115,0.12122665352129092
30500,30625,99.99999999999999,45.99518655710322,0.0,48.997396887418645,0.5605260629379996
30625,30750,100.0,30.995203923921355,0.0,60.28464428579908,0.5387167811863015
30750,30875,100.0,41.04982889393477,0.0,70.5300341679562,0.5108644543172458
30875,31000,100.00000000000001,35.48983848761758,0.0,39.56940141852505,1.0672197963773125
31000,31125,100.0,24.898739615138005,0.0,15.7522854655435,0.7527260615173991
31125,31250,100.0,23.96284623497332,0.0,17.537472142679995,0.5033131349654696
31250,31375,99.99999999999999,21.19538470300443,0.0,10.918897680620596,0.14459867650704206
31375,31500,100.0,33.335783132805176,0.0,16.679390182718794,0.12737332875831398
31500,31625,100.00000000000001,36.38935458446107,0.0,15.567636742214285,0.23648811869214031
31625,31750,100.0,25.990375594209166,0.0,18.48724686206675,0.2550459001135901
31750,31875,99.99999999999999,21.784402578671397,0.0,17.6409948246848,0.22408693572683122
31875,32000,100.0,16.724636481331817,0.0,19.199179287421046,0.20373781487838544
32000,32125,100.0,35.89376303505438,0.6114658400364981,48.22161168313161,0.0
32125,32250,100.0,38.366830254004626,0.0,57.811708990345096,0.5319949436678791
32250,32375,100.0,40.7787137491615,0.0,52.21508408823374,0.003375540251097653
32375,32500,100.00000000000001,37.202701761444935,0.0,35.16447693673915,0.03196812607027788
32500,32625,100.0,24.032215451942104,0.0,19.482713911455157,0.3560673955203335
32625,32750,100.0,15.570546566612489,0.0,14.679524427300231,0.3947960392858886
32750,32875,100.0,12.30536699005116,0.0,13.371590123406,0.0942105899151186
32875,33000,99.99999999999999,11.245833697498808,0.0,11.830829130649912,0.01727292737988484
33000,33125,100.0,9.936770758506226,0.0495395566177641,10.198695842573501,0.0
33125,33250,100.00000000000001,13.118345352620617,0.0,11.077264946429544,0.029363459786630353
33250,33375,100.0,15.88795657191374,0.16669910989934722,14.024995516539336,0.0
